task,prompt,model,mode,accuracy,metric_name,auroc,auroc_gap_to_best,ece,ece_gap_to_best,brier,brier_gap_to_best,n_with_uncertainty,metrics_path
aime2024,hierarchical,google/gemma-3-12b-it,anchor,0.23333333333333334,Hazard-h-Mean,0.49583333333333335,0.23333333333333328,0.19909354967948723,0.05952023237179491,0.2416987133841229,0.03766698918790898,26,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_aime2024_hierarchical_anchor_test_seed42_n30.json
aime2024,hierarchical,google/gemma-3-12b-it,anchor,0.23333333333333334,System-Uncertainty-Final,0.5083333333333333,0.22083333333333333,0.1886116808178791,0.04903836351018678,0.23265341881476462,0.028621694618550686,26,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_aime2024_hierarchical_anchor_test_seed42_n30.json
aime2024,hierarchical,google/gemma-3-12b-it,anchor,0.23333333333333334,Uncertainty-Final,0.7291666666666666,0.0,0.25961538461538464,0.12004206730769232,0.2091346153846154,0.005102891188401459,26,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_aime2024_hierarchical_anchor_test_seed42_n30.json
aime2024,hierarchical,google/gemma-3-12b-it,anchor,0.23333333333333334,Uncertainty-Max,0.5958333333333333,0.1333333333333333,0.19230769230769232,0.052734375,0.21634615384615385,0.012314429649939923,26,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_aime2024_hierarchical_anchor_test_seed42_n30.json
aime2024,hierarchical,google/gemma-3-12b-it,anchor,0.23333333333333334,Uncertainty-Mean,0.7,0.029166666666666674,0.2564102564102564,0.11683693910256407,0.21674679487179485,0.01271507067558092,26,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_aime2024_hierarchical_anchor_test_seed42_n30.json
aime2024,sequential,Qwen/Qwen3-8B,anchor,0.6333333333333333,Formula-Uncertainty-Final,0.706766917293233,0.08270676691729328,0.2863534780649038,0.1653598883213141,0.26364036850058115,0.08815959926981193,26,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_aime2024_sequential_anchor_test_seed42_n30.json
aime2024,sequential,Qwen/Qwen3-8B,anchor,0.6333333333333333,Formula-Uncertainty-Max,0.6353383458646616,0.15413533834586468,0.3353083683894231,0.21431477864583337,0.29046635071818644,0.11498558148741722,26,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_aime2024_sequential_anchor_test_seed42_n30.json
aime2024,sequential,Qwen/Qwen3-8B,anchor,0.6333333333333333,Formula-Uncertainty-Mean,0.6842105263157895,0.10526315789473684,0.2617175762469952,0.1407239865034055,0.24855035456876534,0.07306958533799612,26,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_aime2024_sequential_anchor_test_seed42_n30.json
aime2024,sequential,Qwen/Qwen3-8B,anchor,0.6333333333333333,Hazard-h-Final,0.5138888888888888,0.2755847953216375,0.396087646484375,0.2750940567407853,0.2649607200175524,0.08947995078678317,20,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_aime2024_sequential_anchor_test_seed42_n30.json
aime2024,sequential,Qwen/Qwen3-8B,anchor,0.6333333333333333,Hazard-h-Max,0.6353383458646616,0.15413533834586468,0.3353083683894231,0.21431477864583337,0.29046635071818644,0.11498558148741722,26,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_aime2024_sequential_anchor_test_seed42_n30.json
aime2024,sequential,Qwen/Qwen3-8B,anchor,0.6333333333333333,Hazard-h-Mean,0.6842105263157895,0.10526315789473684,0.2617175762469952,0.1407239865034055,0.24855035456876534,0.07306958533799612,26,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_aime2024_sequential_anchor_test_seed42_n30.json
aime2024,sequential,Qwen/Qwen3-8B,anchor,0.6333333333333333,System-Uncertainty-Final,0.6616541353383458,0.1278195488721805,0.2491721582233004,0.1281785684797107,0.2544186517067104,0.07893788247594119,26,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_aime2024_sequential_anchor_test_seed42_n30.json
aime2024,sequential,Qwen/Qwen3-8B,anchor,0.6333333333333333,Uncertainty-Final,0.7894736842105263,0.0,0.2596153846153847,0.138621794871795,0.17548076923076922,0.0,26,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_aime2024_sequential_anchor_test_seed42_n30.json
aime2024,sequential,Qwen/Qwen3-8B,anchor,0.6333333333333333,Uncertainty-Max,0.6090225563909775,0.18045112781954886,0.1923076923076923,0.07131410256410257,0.25,0.07451923076923078,26,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_aime2024_sequential_anchor_test_seed42_n30.json
